Va(V) sugerida,Va(V) medida,Vt(V),W(rpm)
0.00,0.07,0.03,0.00
0.50,0.54,0.03,0.00
1.00,0.97,0.03,0.00
1.50,1.57,0.03,0.00
2.00,02.05,0.04,0.00
2.30,2.26,0.03,0.00
2.60,2.62,0.78,63.70
2.90,2.90,1.20,78.40
3.30,3.29,1.95,118.20
3.60,3.60,02.02,136.00
3.90,3.89,2.67,170.70
4.00,3.99,2.97,189.00
4.50,4.54,3.73,235.50
5.00,05.03,4.43,277.90
6.00,6.00,5.82,372.30
7.00,7.00,6.70,453.00
8.00,7.98,8.40,527.60
9.00,09.01,9.69,609.40
10.00,10.02,11.05,706.60
11.00,11.00,12.65,790.50
12.00,12.04,13.88,885.50
13.00,13.00,15.47,971.30
14.00,13.99,16.81,1054
15.00,14.99,18.21,1153